Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;Localita;forma_vendita_edicole;vendita_esclusiva;MUNICIPIO;LONGIT;LATIT;Location
ED/3044;VIALE FAMAGOSTA N. 56 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;VIALE FAMAGOSTA;56;5353;;rivendita in supermercato;No;6;9.16750549367106;45.4371214488939;45.4371214488939, 9.16750549367106
ED/2948;Viale UMBRIA N. 28 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Viale UMBRIA;28;3145;;rivendita in supermercato;No;4;9.21278494068;45.4502345606;45.4502345606, 9.21278494068
ED/2887;Via MECENATE N. 2 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via MECENATE;2;3323;;rivendita in negozio;Si;4;9.24226558714;45.4568691836;45.4568691836, 9.24226558714
ED/2908;Via PISINO N. 1 ang. via asiago (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Via PISINO;1;2460;ang. via asiago;rivendita in negozio;Si;2;9.22856895832;45.5058519;45.5058519, 9.22856895832
ED/2999;Via TRAIANO MARCO ULPIO N. 11 ang. via teodorico (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via TRAIANO MARCO ULPIO;11;7157;ANG. VIA TEODORICO;edicola su suolo pubblico;No;8;9.1516912608;45.485193484;45.485193484, 9.1516912608
ED/2910;Via CASSINARI BRUNO N. 30 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via CASSINARI BRUNO;30;4386;;rivendita in negozio;No;4;9.24406174609;45.4379766391;45.4379766391, 9.24406174609
ED/2947;Via PIANELL SALVATORE N. 54 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via PIANELL SALVATORE;54;1426;;rivendita in negozio;No;9;9.20124979195;45.5086331143;45.5086331143, 9.20124979195
ED/2896;Via NOE ENRICO ang. viale abruzzi;AREE PUBBLICHE - Giornali e riviste;Via NOE ENRICO;;2211;ANG. VIALE ABRUZZI;edicola su suolo pubblico;Si;;;;
ED/2897;Via LOSANNA N. 2 ang. corso sempione (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via LOSANNA;2;7190;ang. Corso Sempione;edicola su suolo pubblico;Si;8;9.16177263605;45.4845392352;45.4845392352, 9.16177263605
ED/2913;Corso VITTORIO EMANUELE II N. 1 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Corso VITTORIO EMANUELE II;1;214;;rivendita in negozio;No;1;9.19351083085;45.4649629913;45.4649629913, 9.19351083085
ED/2892;Piazzale PORTA LODOVICA (DI) fr. civ. 6 ang. viale col di lana (area verde);AREE PUBBLICHE - Giornali e riviste;Piazzale PORTA LODOVICA (DI);;4039;fr. civ. 6 ang. Viale Col di Lana (area verde);edicola su suolo pubblico;Si;;;;
ED/2889;Corso PLEBISCITI n°21, angolo via cicognara;AREE PUBBLICHE - Giornali e riviste;Corso PLEBISCITI;;3120;N°21, ANGOLO VIA CICOGNARA;edicola su suolo pubblico;Si;;;;
C-ED/2806;MM3-ROGOREDO F.S. (z.d. 4);AREE PUBBLICHE - Giornali e riviste;;;;;rivendita in stazione metrop.;Si;;;;
C-ED/2809;Via CALDERA N. 21 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via CALDERA;21;6302;;rivendita in negozio;No;7;9.10188335982;45.4780033617;45.4780033617, 9.10188335982
C-ED/2813;Via GIAMBELLINO N. 128 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via GIAMBELLINO;128;5136;;rivendita in negozio;Si;6;9.13453574635;45.4462559213;45.4462559213, 9.13453574635
